date,ticker,name,group,rs_ratio,rs_momentum,close
2026-02-27,KRE,Regional Banks,sector,105.0713,95.2726,66.3845
2026-03-02,KRE,Regional Banks,sector,107.4565,93.6964,67.3687
2026-03-03,KRE,Regional Banks,sector,106.0231,93.572,66.9114
2026-03-04,KRE,Regional Banks,sector,106.3734,92.604,67.1102
2026-03-05,KRE,Regional Banks,sector,103.7466,88.0852,66.2154
2026-03-06,KRE,Regional Banks,sector,102.1841,85.5757,64.5352
2026-03-09,KRE,Regional Banks,sector,101.4736,84.7226,64.3761
2026-03-10,KRE,Regional Banks,sector,100.9416,84.6954,64.3463
2026-03-11,KRE,Regional Banks,sector,100.0268,85.6843,63.6106
2026-03-12,KRE,Regional Banks,sector,98.0238,83.7829,63.0936
2026-03-13,KRE,Regional Banks,sector,97.756,84.4722,62.7456
2026-03-16,KRE,Regional Banks,sector,96.7208,83.6407,63.0936
2026-03-17,KRE,Regional Banks,sector,96.0483,82.8242,63.0836
2026-03-18,KRE,Regional Banks,sector,96.2427,83.026,62.2584
2026-03-19,KRE,Regional Banks,sector,95.8724,80.9206,62.8251
2026-03-20,KRE,Regional Banks,sector,97.4934,83.9738,62.676
2026-03-23,KRE,Regional Banks,sector,99.47,85.7796,63.81
2026-03-24,KRE,Regional Banks,sector,100.7663,91.051,64.34
2026-03-25,KRE,Regional Banks,sector,101.7531,94.9025,64.57
2026-03-26,KRE,Regional Banks,sector,103.7134,94.5578,64.47
2026-03-27,KRE,Regional Banks,sector,104.0292,95.3821,63.37
2026-03-30,KRE,Regional Banks,sector,105.3184,100.2352,63.61
2026-03-31,KRE,Regional Banks,sector,105.4931,98.1729,65.15
2026-04-01,KRE,Regional Banks,sector,106.0663,100.0407,65.85
2026-04-02,KRE,Regional Banks,sector,105.7056,99.3722,66.0
2026-04-06,KRE,Regional Banks,sector,104.8153,101.0301,66.64
2026-04-07,KRE,Regional Banks,sector,104.5142,102.2803,66.75
2026-04-08,KRE,Regional Banks,sector,105.2942,103.7651,68.69
2026-04-09,KRE,Regional Banks,sector,104.3678,103.3943,69.85
2026-04-10,KRE,Regional Banks,sector,104.6806,104.6525,68.94
2026-04-13,KRE,Regional Banks,sector,105.7619,107.8941,69.39
2026-04-14,KRE,Regional Banks,sector,104.8212,107.2274,69.29
2026-04-15,KRE,Regional Banks,sector,102.1687,105.6326,69.17
2026-04-16,KRE,Regional Banks,sector,99.8158,103.9225,68.83
2026-04-17,KRE,Regional Banks,sector,101.3251,105.2808,70.37
2026-04-20,KRE,Regional Banks,sector,101.17,105.5257,70.64
2026-04-21,KRE,Regional Banks,sector,97.0186,99.513,69.63
2026-04-22,KRE,Regional Banks,sector,96.2267,96.7394,69.25
2026-04-23,KRE,Regional Banks,sector,101.0352,100.2668,70.0
2026-04-24,KRE,Regional Banks,sector,98.7023,97.0018,68.89
2026-04-27,KRE,Regional Banks,sector,100.1332,96.548,70.07
