rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
705,MGM,MGM Resorts,Consumer Discretionary,large,39.54,11.01,12.97,-1.96,-0.38,,STRONG_UP,-3.06,-0.85,-2.21,0.0,54.17,LOW,0.7982,-,1,16.13,period_1,2026-03-30,19
706,AMN,AMN HEALTHCARE INC,Health Care,small,20.35,8.65,12.97,-4.32,-1.27,,STRONG_UP,-5.85,-0.85,-5.0,-2.68,54.47,LOW,0.4869,-,1,16.113,period_1,2026-03-30,19
707,NNI,NELNET INC CLASS A,Financials,mid,141.13,9.33,12.97,-3.64,1.0,,STRONG_UP,-1.33,-0.85,-0.48,0.0,58.01,MED,1.0734,-,1,16.091,period_1,2026-03-30,19
708,JCI,Johnson Controls,Industrials,large,141.92,12.12,12.97,-0.85,-0.07,,STRONG_UP,-3.93,-0.85,-3.08,-0.63,51.67,LOW,0.5161,-,1,16.085,period_1,2026-03-30,19
709,ESNT,ESSENT GROUP LTD,Financials,mid,63.62,9.31,12.97,-3.66,0.78,,STRONG_UP,-1.66,-0.85,-0.81,-1.44,57.65,MED,1.0078,-,1,16.074,period_1,2026-03-30,19
710,HAL,Halliburton,Energy,large,40.36,2.8,12.97,-10.17,9.3,,STRONG_UP,-6.57,-0.85,-5.72,0.0,61.36,LOW,0.9404,-,1,16.056,period_1,2026-03-30,19
711,BNL,BROADSTONE NET LEASE INC,Real Estate,mid,20.02,9.48,12.97,-3.49,-2.02,,STRONG_UP,-2.5,-0.85,-1.65,-1.67,56.47,LOW,0.66,-,1,16.04,period_1,2026-03-30,19
712,FOXA,Fox Corporation (Class A),Communication Services,large,62.85,6.29,12.97,-6.68,-3.67,,STRONG_UP,-4.13,-0.85,-3.28,-4.13,59.09,LOW,0.8268,-,1,16.039,period_1,2026-03-30,19
713,QCOM,Qualcomm,Information Technology,large,148.85,17.14,12.97,4.17,7.5,,STRONG_UP,-3.66,-0.85,-2.81,0.0,45.03,HIGH,2.5215,SHIFT,0,16.02,period_1,2026-03-30,19
714,HAE,HAEMONETICS CORP,Health Care,mid,59.93,9.1,12.97,-3.87,-2.76,,STRONG_UP,-3.76,-0.85,-2.91,-3.26,55.64,LOW,0.5922,PROGRESS,0,16.017,period_1,2026-03-30,19
715,STNE,STONECO LTD CLASS A,Financials,mid,12.22,8.85,12.97,-4.12,-4.68,,STRONG_DOWN,-5.95,-0.85,-5.1,-4.38,53.74,HIGH,1.7125,PROGRESS,0,16.004,period_1,2026-03-30,19
