rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
98,0,RR1.AX,Reach Resources Limited,Gold,small,0.01,32.68,-0.009,-0.0729,0.0168,FLAT,-23.08%,25.00%,-20.00%,-48.58%,30.00%,131.70%,8.2969,HIGH,-,0.0117,0.0139,0.0115,0,5.6948,WEAK,12.5494
99,0,PGO.AX,Pacgold Limited,Gold,small,0.089,41.18,-0.1303,-0.2283,0.1306,FLAT,-1.11%,36.92%,-42.58%,-51.11%,38.80%,121.60%,0.8399,LOW,-,0.1114,0.1331,0.0861,1,11.7814,LAGGARD,12.5438
100,0,NVO.AX,Novo Resources Corp,Gold,small,0.081,10.46,0.0288,-0.0519,-0.2756,STRONG_UP,-32.50%,-18.18%,-55.00%,-62.05%,28.80%,119.86%,1.0453,MED,-,0.085,0.1157,0.1189,0,-4.3687,WEAK,12.4607
101,0,CDR.AX,Codrus Minerals Limited,Gold,small,0.024,42.48,-0.0385,0.0171,0.5194,STRONG_DOWN,-29.41%,41.18%,-40.00%,-64.29%,22.00%,146.70%,0.0525,LOW,-,0.0245,0.0277,0.0251,0,6.1751,WEAK,12.4446
102,0,VKA.AX,Viking Mines Limited,Gold,small,0.014,63.4,-0.0014,-0.1053,0.6632,FLAT,100.00%,100.00%,40.00%,-43.48%,24.80%,182.67%,0.3521,LOW,-,0.0164,0.0147,0.0092,1,13.5764,CONTENDER,12.4446
103,0,GBR.AX,Great Boulder Resources Limited,Gold,small,0.091,30.07,-0.0274,-0.1141,0.0458,FLAT,2.25%,22.97%,51.67%,-45.16%,44.00%,97.71%,1.063,MED,-,0.1013,0.1094,0.0823,1,10.345,LAGGARD,12.2343
104,0,TBR.AX,Tribune Resources Ltd,Gold,small,5.87,37.91,-0.0402,0.1207,0.106,FLAT,-6.46%,33.30%,49.78%,-27.97%,47.20%,48.58%,0.2364,LOW,-,5.7722,6.2513,5.8048,1,32.3582,LAGGARD,12.0862
105,0,VTX.AX,Vertex Minerals Limited,Gold,small,0.17,7.19,0.0255,0.1044,-0.232,FLAT,-51.43%,-24.44%,95.40%,-64.10%,38.40%,95.78%,1.7916,HIGH,-,0.1555,0.1872,0.243,0,-9.8002,WEAK,11.869
106,0,A8G.AX,Australasian Metals Limited,Gold,small,0.068,15.03,-0.0807,-0.0326,-0.0987,FLAT,-28.42%,-6.85%,6.25%,-56.13%,19.60%,53.09%,4.957,HIGH,-,0.0772,0.0834,0.0855,0,-2.5287,WEAK,11.7584
107,0,AAR.AX,Astral Resources NL,Gold,small,0.18,35.95,-0.0099,-0.2105,-0.2195,STRONG_UP,-26.53%,28.57%,185.71%,-43.10%,37.60%,81.94%,0.619,LOW,-,0.2015,0.2411,0.213,0,13.1106,WEAK,11.6563
