rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
77,0,AUE.AX,Aurum Resources Limited,Gold,small,0.635,59.87,-0.0715,0.084,-0.0232,FLAT,-11.19,67.11,118.97,-33.97,45.2,77.88,0.258,LOW,-,0.6038,0.657,0.6151,1,38.9466,CONTENDER,15.301
78,0,OLY.AX,Olympio Metals Limited,Gold,small,0.067,43.42,0.1044,0.0636,0.2219,FLAT,-22.99,36.73,11.67,-72.12,27.6,117.88,0.2888,LOW,-,0.0613,0.0634,0.0803,0,8.6009,WEAK,15.242
79,0,NPM.AX,New Peak Metals Limited,Gold,small,0.018,57.24,-0.0123,-0.0408,-0.1791,STRONG_UP,-25.0,63.64,5.88,-50.0,31.2,94.42,0.7614,LOW,-,0.0171,0.0197,0.0212,0,21.0279,LAGGARD,15.2252
80,0,MM8.AX,Medallion Metals Limited,Gold,small,0.42,60.53,-0.0468,-0.0337,0.0598,STRONG_DOWN,-25.66,68.0,526.87,-44.07,43.2,88.96,0.2788,LOW,-,0.3995,0.4224,0.4078,1,33.0216,CONTENDER,15.1496
81,0,RC1.AX,Redcastle Resources Limited,Gold,small,0.18,78.95,-0.0123,0.1418,0.2303,STRONG_DOWN,63.64,125.0,28.57,-47.73,24.8,130.07,0.0002,LOW,-,0.16,0.1678,0.1163,1,23.8333,LEADER,14.9757
82,0,TOK.AX,Tolu Minerals Limited,Gold,small,1.5,53.95,0.0013,0.1197,0.2416,STRONG_DOWN,7.14,57.89,160.87,-33.13,44.0,60.27,0.7099,LOW,-,1.4843,1.3959,1.2286,1,42.2659,CONTENDER,14.6968
83,0,SMI.AX,Santana Minerals Limited,Gold,mid,0.665,30.26,-0.0197,-0.1517,-0.2833,STRONG_UP,-29.26,10.83,50.0,-43.16,46.0,60.19,0.7398,LOW,EARLY,0.7088,0.8272,0.7985,0,8.2793,WEAK,14.5912
84,0,MDI.AX,Middle Island Resources Limited,Gold,small,0.029,51.97,-0.0123,-0.2446,-0.2086,FLAT,-39.58,52.63,70.59,-60.66,32.8,142.85,0.0506,LOW,-,0.0284,0.0393,0.0337,0,12.0848,LAGGARD,14.5142
85,0,VKA.AX,Viking Mines Limited,Gold,small,0.014,80.92,-0.1373,-0.1647,0.5053,FLAT,55.56,133.33,55.56,-43.48,25.2,175.82,0.486,LOW,-,0.0147,0.0152,0.0096,1,19.1105,LEADER,14.3297
86,4,M2R.AX,Miramar Resources Limited,Gold,small,0.003,50.0,0.1878,-0.1311,0.1053,FLAT,0.0,50.0,-72.73,-60.0,18.0,216.27,1.3587,MED,-,0.0028,0.0035,0.0033,0,4.1615,LAGGARD,14.2123
87,-1,CMM.AX,Capricorn Metals Ltd,Gold,mid,11.61,33.55,-0.0334,0.0211,-0.1092,FLAT,-18.13,14.64,122.08,-41.12,54.4,66.46,0.6454,LOW,PROGRESS,11.134,12.495,12.4514,0,11.9842,WEAK,13.9558
88,-1,SNG.AX,Siren Gold Limited,Gold,small,0.077,40.13,-0.0846,-0.1513,-0.2295,STRONG_UP,-40.77,32.76,28.33,-47.14,41.2,65.7,0.0895,LOW,-,0.0804,0.0894,0.0896,0,20.5427,WEAK,13.844
89,-1,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.215,32.24,-0.004,0.0642,-0.0697,FLAT,-14.74,13.02,341.82,-41.51,50.0,77.52,0.4208,LOW,-,1.0872,1.2554,1.1467,1,8.3999,LAGGARD,13.7969
90,-1,GHM.AX,Golden Horse Minerals Limited,Gold,small,0.52,34.87,0.1832,0.0364,-0.2011,STRONG_UP,-28.28,16.85,116.67,-50.6,46.0,82.73,1.2997,MED,-,0.4525,0.5807,0.6227,0,9.3712,WEAK,13.7191
91,0,CYL.AX,Catalyst Metals Limited,Gold,mid,6.43,17.76,-0.0366,-0.0228,-0.1846,FLAT,-22.53,-3.74,708.8,-41.6,47.6,83.05,1.5533,HIGH,PROGRESS,6.383,7.089,7.0948,0,-2.145,WEAK,13.604
92,0,MAT.AX,Matsa Resources Limited,Gold,small,0.09,47.37,-0.0123,0.0395,-0.2324,FLAT,-37.93,40.62,164.71,-52.9,40.4,102.04,0.2321,LOW,-,0.0878,0.1021,0.1046,0,16.0844,WEAK,13.3297
93,0,NVO.AX,Novo Resources Corp,Gold,small,0.07,6.58,-0.1032,-0.1549,-0.4324,STRONG_UP,-50.0,-36.36,-57.58,-64.1,28.0,108.98,2.9743,HIGH,-,0.078,0.1006,0.1176,0,-9.3428,WEAK,12.8893
94,0,CDR.AX,Codrus Minerals Limited,Gold,small,0.023,20.39,0.0332,-0.0299,-0.0777,STRONG_UP,9.52,0.0,-41.03,-64.29,21.6,102.38,0.9731,LOW,-,0.0233,0.027,0.0246,0,0.0,WEAK,12.5836
95,0,PGD.AX,Peregrine Gold Limited,Gold,small,0.15,14.47,-0.0123,-0.0507,-0.2741,STRONG_UP,-46.43,-11.76,-30.23,-64.71,33.2,106.04,0.1822,LOW,-,0.1425,0.1803,0.2445,0,-3.6834,WEAK,11.9517
96,0,PEC.AX,Perpetual Resources Limited,Gold,small,0.012,20.39,0.0313,0.2168,0.3053,STRONG_DOWN,4.35,0.0,20.0,-70.37,28.4,98.54,0.6639,LOW,-,0.0107,0.0113,0.0132,0,0.0,WEAK,11.9392
97,0,RR1.AX,Reach Resources Limited,Gold,small,0.009,20.39,0.1128,-0.2959,-0.1491,FLAT,-30.77,0.0,-40.0,-52.94,30.0,139.53,2.4003,HIGH,-,0.0095,0.0128,0.0115,0,0.0,WEAK,11.8754
98,0,POL.AX,Polymetals Resources Ltd,Gold,small,0.965,19.74,0.3374,0.2619,-0.0882,STRONG_UP,-30.07,-0.52,221.67,-58.18,44.4,104.36,0.5623,LOW,-,0.76,0.8952,1.0147,0,-0.2193,WEAK,11.636
99,0,KTA.AX,Krakatoa Resources Limited,Gold,small,0.006,7.24,-0.0123,-0.1882,-0.4375,STRONG_UP,-66.67,-33.33,-50.0,-66.67,25.6,138.77,0.9612,LOW,-,0.0066,0.0071,0.0109,0,-6.1493,WEAK,11.5844
100,0,ODY.AX,Odyssey Gold Limited,Gold,small,0.034,42.76,-0.0408,-0.0438,0.1356,FLAT,-10.53,36.0,47.83,-44.44,37.2,104.81,0.897,LOW,-,0.0335,0.0344,0.0319,1,12.7774,LAGGARD,11.5332
101,0,DTM.AX,Dart Mining NL,Gold,small,0.034,3.95,-0.0678,-0.0438,-0.016,STRONG_DOWN,-62.22,-43.33,-92.73,-77.78,26.0,77.41,1.304,MED,-,0.0335,0.0353,0.0429,0,-14.5542,WEAK,11.3108
